OBJECTID,Projectnaam,Status_project,type_project_,Potentie,MWp_min,MWp_max,MWp_schatting,MWp_bron,MWp_logisch_eind
1,Energieroute Noord-Holland,Planfase,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
3,Zonneroute A15,Verkenning,Zon op land,circa 25-75 Megawattpiek ,25.0,75.0,50.0,gegeven_range,50.0
4,Energiecorridor Betuweroute A15,Verkenning,Zon op land,circa 60-70 MWp,60.0,70.0,65.0,gegeven_range,65.0
5,A59 's-Hertogenbosch - Bernheze,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
6,Zonnelint A12-A30,Voorbereiding tender,Zon op land,circa 10 megawattpiek,9.0,11.0,10.0,gegeven_circa,10.0
7,Duurzaamheidsroute A35,Planfase,Zon op land,circa 90-110 megawattpiek,90.0,110.0,100.0,gegeven_range,100.0
8,A28-A7 Drenthe-Groningen,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
9,Drentse Zonneroute A37,Planfase,Zon op land,circa 165 megawattpiek,148.5,181.50000000000003,165.0,gegeven_circa,165.0
11,A12 Oost en West,Verkenning,Zon op land,40-60 MWp,40.0,60.0,50.0,gegeven_range,50.0
13,A6 Zon Lelystad Dronten,Planfase,Zon op land ,circa 60-70MWp,60.0,70.0,65.0,gegeven_range,65.0
14,A73-A77,Planfase,Zon op land,circa 37 ha,24.05,44.4,34.225,afgeleid_uit_ha,34.225
16,Zon langs de A28 Amersfoort-Utrecht,Verkenning,Zon op land,-,,,,onbekend,13.0
17,A4-N11,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
18,A7-A8,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
19,A2-A76-A79,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
20,A12 Zuid-Holland,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
21,A1-A50,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
22,A2 Utrecht Zuid,Verkenning,Zon op land,energie voor 5.000 tot 7.500 huishoudens,12.1,32.01219512195122,22.916666666666664,afgeleid_uit_huishoudens,22.05609756097561
23,A1 Utrecht,Verkenning,Zon op land,energie voor 2.000 tot 5000 huishoudens,4.84,21.341463414634145,12.833333333333332,afgeleid_uit_huishoudens,13.090731707317072
24,OER Brainport Rijkswegen,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
25,A27,Voorverkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
26,A28-A32,Verkenning,Zon op land,-,,,,onbekend,13.0
28,A20,Voorverkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
29,OER Fryslân,Voorverkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
31,A16-A20-N3 ,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
32,Zonneroute Gooi- en Vechtstreek,Planfase,Zon op land,55-125 MWp,55.0,125.0,90.0,gegeven_range,90.0
34,ZonneRing A10,Verkenning,Zon op land,wordt momenteel onderzocht,,,,onbekend,13.0
36,A2 Noord,Voorbereiding tender,Zon op land ,energie voor circa 6000 huishoudens,14.52,25.60975609756097,22.0,afgeleid_uit_huishoudens,20.06487804878049
