Omschrijvi,Naam,source,OBJECTID,UVID,BOUWWERKCO,AFSTOOTSTA,Shape_Leng,Shape_Area,EAN,Gebouwcode hoofdaansluiting,Gekoppelde aansluiting,Entity,Portefeuille,Naam Defensie,Bouwwerkfunctie,Adres,Postcode,Plaats,Contractcapaciteit,Aangevraagde Contractcapaciteit,Toekomstige contractcapaciteit,Maximaal piekvermogen,Verhoogde basislast,Vermogen laadpunten,WP vermogen,Max vermogen verbruik,Max ruimte verbruik,Oordeel verbruik,WP Zonnepanelen,Max ruimte opwek,Oordeel opwek,Projectnaam,Volgorde,Status_project,type_project_,Potentie,Planning,URL_projectpagina,RES_Regio,scope_omschrijving,Type_project_icon,Shape__Area,Shape__Length,cluster_id,lon,lat,geometry_wkt
,OT DE HAAR,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.526111058581124,52.94585366246336,POINT (6.526111058581124 52.94585366246336)
,D,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.562013203320815,52.93059265306097,POINT (6.562013203320815 52.93059265306097)
,A,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.4873018199611465,52.94335390800942,POINT (6.4873018199611465 52.94335390800942)
,B,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.52096801801527,52.93081536941294,POINT (6.52096801801527 52.93081536941294)
,C,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.509171040667472,52.91295506118929,POINT (6.509171040667472 52.91295506118929)
,E,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.475451652754954,52.932035955093,POINT (6.475451652754954 52.932035955093)
,H,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.480373543912583,52.961096411031896,POINT (6.480373543912583 52.961096411031896)
,F,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.503403874788875,52.94549317489797,POINT (6.503403874788875 52.94549317489797)
,G,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.509175107135189,52.962478445698984,POINT (6.509175107135189 52.962478445698984)
,H,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.486066948934784,52.954900396609915,POINT (6.486066948934784 52.954900396609915)
,B en F,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6.520281110662369,52.9369513118773,POINT (6.520281110662369 52.9369513118773)
,,Energieproject,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A28-A7 Drenthe-Groningen,7.0,Verkenning,Zon op land,wordt momenteel onderzocht,x,https://www.energieoprijksgrond.nl/projecten/a28-a7+drenthe-groningen/default.aspx,RES Drenthe,"A28 in Drenthe, van Meppel tot en met gemeente Tynaarlo",https://ez.maps.arcgis.com/sharing/rest/content/items/a2cc7f9dd3414822a2664bf7b3df5ace/data,75488120.20639038,144918.1123399057,9,6.531463901640094,52.90619258439761,POINT (6.531463901640094 52.90619258439761)
