cluster_id,n_points,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,n_Bouwwerk,n_Bovenregionaal,n_Energieproject,n_Locatiespecifiek,centroid_lon,centroid_lat,score,geometry_wkt
14,52,79255.36923023971,450269.02399162157,84397.3888727421,458720.79871835967,51,1,0,0,4.321130820257266,52.074561723108886,7459.0,POINT (4.321130820257266 52.074561723108886)
27,3,257389.49081002892,471636.6752033316,257986.40954856193,471701.59005983523,3,0,0,0,6.8896601120639716,52.223550848221876,500.0,POINT (6.8896601120639716 52.223550848221876)
31,6,103672.9976637655,486365.8626258163,104927.35142749551,489085.4156987653,6,0,0,0,4.6420216263344125,52.37500054569069,453.0,POINT (4.6420216263344125 52.37500054569069)
16,4,176093.23540202924,413288.14865834126,179389.59000254612,418143.66880326014,1,2,0,1,5.722186113054452,51.72915962909975,91.0,POINT (5.722186113054452 51.72915962909975)
37,3,99479.53674891636,460559.32534536667,103368.07189723421,460951.6654835305,2,0,1,0,4.613834254782103,52.1325830282257,62.0,POINT (4.613834254782103 52.1325830282257)
3,19,186104.8845148991,486196.3137041703,197108.67899801428,494339.29040278826,0,5,0,14,5.9202029978326385,52.39816654973624,0.0,POINT (5.9202029978326385 52.39816654973624)
13,3,120622.05994760197,397595.41915230744,123398.00627061198,399827.3051311433,0,1,0,2,4.916763642741766,51.57350937368085,0.0,POINT (4.916763642741766 51.57350937368085)
10,17,170259.5904337577,360274.7688505165,173335.01365371747,366366.3806782414,0,1,0,16,5.626171577965822,51.25959670281039,0.0,POINT (5.626171577965822 51.25959670281039)
24,5,231381.7154086904,468781.8918238208,231397.87433471903,469089.83546574117,0,0,0,5,6.504691576901406,52.20318577087118,0.0,POINT (6.504691576901406 52.20318577087118)
2,9,183565.00942317542,460977.8265845769,187242.88418875835,462280.8995582507,0,2,0,7,5.826094060553592,52.142063668077824,0.0,POINT (5.826094060553592 52.142063668077824)
