Omschrijvi,Naam,source,OBJECTID,UVID,BOUWWERKCO,AFSTOOTSTA,Shape_Leng,Shape_Area,EAN,Gebouwcode hoofdaansluiting,Gekoppelde aansluiting,Entity,Portefeuille,Naam Defensie,Bouwwerkfunctie,Adres,Postcode,Plaats,Contractcapaciteit,Aangevraagde Contractcapaciteit,Toekomstige contractcapaciteit,Maximaal piekvermogen,Verhoogde basislast,Vermogen laadpunten,WP vermogen,Max vermogen verbruik,Max ruimte verbruik,Oordeel verbruik,WP Zonnepanelen,Max ruimte opwek,Oordeel opwek,Projectnaam,Volgorde,Status_project,type_project_,Potentie,Planning,URL_projectpagina,RES_Regio,scope_omschrijving,Type_project_icon,Shape__Area,Shape__Length,cluster_id,lon,lat,geometry_wkt
,OT LEUSDERHEIDE,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.335120000981036,52.10909359729327,POINT (5.335120000981036 52.10909359729327)
,OT DE HAAR,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.526111058581122,52.94585366246335,POINT (6.526111058581122 52.94585366246335)
Voorkeursalternatief voor uitbreiding het depot,VKA depot Klaphek,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5.055277985969343,51.99175117331273,POINT (5.055277985969343 51.99175117331273)
Voorkeursalternatief uitbreiding raccordement,VKA Vlasakkers,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5.322768013509466,52.14363273634983,POINT (5.322768013509466 52.14363273634983)
Juridische borging beperkingengebied,,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,5.656072395742006,52.085666029042486,POINT Z (5.656072395742006 52.085666029042486 188.75)
,D,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.562013203320814,52.93059265306099,POINT (6.562013203320814 52.93059265306099)
,A,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.4873018199611465,52.94335390800941,POINT (6.4873018199611465 52.94335390800941)
,B,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.52096801801527,52.93081536941297,POINT (6.52096801801527 52.93081536941297)
,C,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.509171040667472,52.91295506118928,POINT (6.509171040667472 52.91295506118928)
,E,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.475451652754954,52.93203595509301,POINT (6.475451652754954 52.93203595509301)
,H,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.480373543912582,52.96109641103192,POINT (6.480373543912582 52.96109641103192)
,F,Locatiespecifiek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6.5034038747888765,52.94549317489796,POINT (6.5034038747888765 52.94549317489796)
